SourceFile,TargetFile
Jolt/ObjectStream/TypeDeclarations.cpp,Jolt/ObjectStream/TypeDeclarations.h
Jolt/Physics/Collision/CollideShape.h,Jolt/Core/StaticArray.h
Jolt/Shaders/HairWrapper.cpp,HairApplyGlobalPoseBindings.h
Jolt/Shaders/HairWrapper.cpp,HairUpdateVelocityIntegrate.hlsl
Jolt/Physics/Constraints/CalculateSolverSteps.h,Jolt/Physics/PhysicsSettings.h
Jolt/Physics/Collision/Shape/StaticCompoundShape.cpp,Jolt/Core/Profiler.h
Jolt/Physics/Collision/CastSphereVsTriangles.cpp,Jolt/Physics/Collision/ActiveEdges.h
Jolt/Physics/Body/BodyInterface.cpp,Jolt/Physics/Constraints/TwoBodyConstraint.h
Jolt/Physics/Constraints/DistanceConstraint.cpp,Jolt/Core/StreamOut.h
Jolt/Physics/Vehicle/VehicleCollisionTester.h,Jolt/Core/NonCopyable.h
Jolt/Physics/Constraints/PointConstraint.cpp,Jolt/Physics/Body/Body.h
Jolt/Physics/Collision/PhysicsMaterialSimple.cpp,Jolt/Core/StreamOut.h
Jolt/Physics/PhysicsSystem.cpp,Jolt/Physics/Collision/AABoxCast.h
Jolt/Physics/Collision/Shape/TaperedCylinderShape.cpp,Jolt/Physics/Collision/TransformedShape.h
Jolt/Physics/Constraints/DistanceConstraint.h,Jolt/Physics/Constraints/ConstraintPart/AxisConstraintPart.h
Jolt/Math/DMat44.h,DMat44.inl
Jolt/Physics/Collision/BroadPhase/BroadPhase.h,Jolt/Physics/Collision/BroadPhase/BroadPhaseLayer.h
Jolt/Physics/Collision/PhysicsMaterial.h,Jolt/ObjectStream/SerializableObject.h
Jolt/Physics/Constraints/HingeConstraint.cpp,Jolt/Jolt.h
Jolt/Compute/ComputeBuffer.h,Jolt/Core/NonCopyable.h
Jolt/Physics/Constraints/ContactConstraintManager.cpp,Jolt/Physics/PhysicsUpdateContext.h
Jolt/Physics/Vehicle/Wheel.h,Jolt/Physics/Body/Body.h
Jolt/Physics/Collision/BroadPhase/BroadPhaseQuadTree.cpp,Jolt/Physics/Collision/AABoxCast.h
Jolt/Physics/Collision/Shape/TriangleShape.cpp,Jolt/Physics/Collision/CastConvexVsTriangles.h
Jolt/Core/JobSystemThreadPool.h,Jolt/Core/JobSystemWithBarrier.h
Jolt/Physics/Body/BodyCreationSettings.cpp,Jolt/Core/StreamUtils.h
Jolt/Physics/Collision/Shape/ConvexShape.cpp,Jolt/Physics/Collision/NarrowPhaseStats.h
Jolt/Physics/Collision/Shape/MeshShape.h,Jolt/Renderer/DebugRenderer.h
Jolt/Physics/Constraints/ContactConstraintManager.cpp,Jolt/Core/QuickSort.h
Jolt/Physics/Collision/PhysicsMaterial.cpp,Jolt/Core/StreamUtils.h
Jolt/Physics/Body/BodyInterface.cpp,Jolt/Physics/Collision/PhysicsMaterial.h
Jolt/Physics/Body/BodyCreationSettings.cpp,Jolt/Core/StreamOut.h
Jolt/Physics/Vehicle/VehicleController.h,Jolt/Core/StreamOut.h
Jolt/Physics/Collision/CollidePointResult.h,Jolt/Physics/Collision/Shape/SubShapeID.h
Jolt/Physics/Collision/Shape/BoxShape.h,Jolt/Physics/Collision/Shape/ConvexShape.h
Jolt/Physics/Constraints/RackAndPinionConstraint.cpp,Jolt/Physics/Constraints/HingeConstraint.h
Jolt/Compute/VK/BufferVK.h,Jolt/Core/NonCopyable.h
Jolt/Physics/Collision/CollisionDispatch.h,Jolt/Physics/Collision/Shape/Shape.h
Jolt/Compute/ComputeBuffer.h,Jolt/Core/Reference.h
Jolt/Physics/Collision/ManifoldBetweenTwoFaces.cpp,Jolt/Jolt.h
Jolt/Physics/Collision/CollisionGroup.cpp,Jolt/ObjectStream/TypeDeclarations.h
Jolt/Physics/Character/Character.h,Jolt/Physics/EActivation.h
Jolt/Physics/Constraints/Constraint.h,Jolt/ObjectStream/SerializableObject.h
Jolt/Shaders/HairWrapper.cpp,HairApplyGlobalPose.hlsl
Jolt/Physics/SoftBody/SoftBodyMotionProperties.cpp,Jolt/Physics/Collision/CollideSoftBodyVertexIterator.h
Jolt/ObjectStream/TypeDeclarations.h,Jolt/ObjectStream/SerializableAttributeTyped.h
Jolt/Physics/Collision/Shape/Shape.h,Jolt/Core/UnorderedSetFwd.h
Jolt/Jolt.h,Jolt/Core/Memory.h
Jolt/Physics/Collision/BroadPhase/BroadPhaseLayer.h,Jolt/Physics/Collision/ObjectLayer.h
Jolt/Physics/Collision/Shape/CompoundShape.cpp,Jolt/Physics/Collision/CastResult.h
Jolt/Physics/Collision/PhysicsMaterial.cpp,Jolt/Physics/Collision/PhysicsMaterial.h
