File_A,File_B,Temporal_Coupling,Shared_Revisions
ObjectStream/ObjectStreamBinaryIn.cpp,ObjectStream/ObjectStreamBinaryOut.cpp,100%,6
Physics/Collision/Shape/OffsetCenterOfMassShape.cpp,Physics/Collision/Shape/ScaledShape.cpp,88%,13
Physics/Collision/Shape/RotatedTranslatedShape.cpp,Physics/Collision/Shape/ScaledShape.cpp,85%,14
Physics/Constraints/ConeConstraint.cpp,Physics/Constraints/DistanceConstraint.cpp,83%,6
Physics/Collision/Shape/OffsetCenterOfMassShape.cpp,Physics/Collision/Shape/RotatedTranslatedShape.cpp,81%,14
Physics/Vehicle/TrackedVehicleController.cpp,Physics/Vehicle/WheeledVehicleController.cpp,77%,18
Physics/Collision/Shape/CapsuleShape.cpp,Physics/Collision/Shape/CylinderShape.cpp,75%,19
ObjectStream/ObjectStreamBinaryIn.cpp,ObjectStream/ObjectStreamOut.cpp,71%,7
Physics/Collision/Shape/SphereShape.cpp,Physics/Collision/Shape/TriangleShape.cpp,68%,18
Physics/Collision/Shape/BoxShape.cpp,Physics/Collision/Shape/SphereShape.cpp,66%,14
Physics/Constraints/HingeConstraint.cpp,Physics/Constraints/SliderConstraint.cpp,66%,14
Physics/Collision/Shape/CapsuleShape.cpp,Physics/Collision/Shape/TaperedCapsuleShape.cpp,66%,15
Physics/Constraints/SixDOFConstraint.cpp,Physics/Constraints/SwingTwistConstraint.cpp,66%,17
Physics/Collision/Shape/CapsuleShape.cpp,Physics/Collision/Shape/ScaledShape.cpp,62%,15
Physics/Collision/Shape/ScaledShape.cpp,Physics/Collision/Shape/SphereShape.cpp,61%,13
Physics/Collision/Shape/BoxShape.cpp,Physics/Collision/Shape/OffsetCenterOfMassShape.cpp,61%,13
Physics/Constraints/PathConstraint.cpp,Physics/Constraints/SwingTwistConstraint.cpp,60%,12
Physics/Constraints/FixedConstraint.cpp,Physics/Constraints/SliderConstraint.cpp,60%,12
Physics/Constraints/HingeConstraint.cpp,Physics/Constraints/SwingTwistConstraint.cpp,60%,12
Physics/Collision/Shape/BoxShape.cpp,Physics/Collision/Shape/CapsuleShape.cpp,60%,15
Physics/Collision/Shape/CompoundShape.cpp,Physics/Collision/Shape/ScaledShape.cpp,60%,17
Physics/Collision/Shape/BoxShape.cpp,Physics/Collision/Shape/ScaledShape.cpp,59%,14
Physics/Constraints/DistanceConstraint.cpp,Physics/Constraints/SwingTwistConstraint.cpp,58%,9
Physics/Constraints/ConeConstraint.cpp,Physics/Constraints/SwingTwistConstraint.cpp,58%,9
Physics/Collision/Shape/CapsuleShape.cpp,Physics/Collision/Shape/RotatedTranslatedShape.cpp,58%,16
